Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9HAU4	SMUF2_HUMAN	reviewed	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	SMURF2	Homo sapiens (Human)	748
P60896	SEM1_HUMAN	reviewed	26S proteasome complex subunit SEM1 (26S proteasome complex subunit DSS1) (Deleted in split hand/split foot protein 1) (Split hand/foot deleted protein 1) (Split hand/foot malformation type 1 protein)	SEM1 DSS1 SHFDG1 SHFM1	Homo sapiens (Human)	70
Q9H6Q3	SLAP2_HUMAN	reviewed	Src-like-adapter 2 (Modulator of antigen receptor signaling) (MARS) (Src-like adapter protein 2) (SLAP-2)	SLA2 C20orf156 SLAP2	Homo sapiens (Human)	261
Q92835	SHIP1_HUMAN	reviewed	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship) (hp51CN)"	INPP5D SHIP SHIP1	Homo sapiens (Human)	1189
P63208	SKP1_HUMAN	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
Q15464	SHB_HUMAN	reviewed	SH2 domain-containing adapter protein B	SHB	Homo sapiens (Human)	509
Q13239	SLAP1_HUMAN	reviewed	Src-like-adapter (Src-like-adapter protein 1) (SLAP-1) (hSLAP)	SLA SLAP SLAP1	Homo sapiens (Human)	276
B2RUZ4	SMIM1_HUMAN	reviewed	Small integral membrane protein 1 (Vel blood group antigen)	SMIM1	Homo sapiens (Human)	78
Q07889	SOS1_HUMAN	reviewed	Son of sevenless homolog 1 (SOS-1)	SOS1	Homo sapiens (Human)	1333
P23497	SP100_HUMAN	reviewed	Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa)	SP100	Homo sapiens (Human)	879
O75391	SPAG7_HUMAN	reviewed	Sperm-associated antigen 7	SPAG7	Homo sapiens (Human)	227
Q9Y508	RN114_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313)	RNF114 ZNF228 ZNF313	Homo sapiens (Human)	228
P62987	RL40_HUMAN	reviewed	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	UBA52 UBCEP2	Homo sapiens (Human)	128
Q8TEB7	RN128_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF128 (EC 2.3.2.27) (Gene related to anergy in lymphocytes protein) (GRAIL) (RING finger protein 128) (RING-type E3 ubiquitin transferase RNF128)	RNF128	Homo sapiens (Human)	428
Q15287	RNPS1_HUMAN	reviewed	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1 LDC2	Homo sapiens (Human)	305
Q96EU6	RRP36_HUMAN	reviewed	Ribosomal RNA processing protein 36 homolog	RRP36 C6orf153 HSPC253	Homo sapiens (Human)	259
P62979	RS27A_HUMAN	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
P50454	SERPH_HUMAN	reviewed	Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47)	SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14	Homo sapiens (Human)	418
Q86SQ7	SDCG8_HUMAN	reviewed	Serologically defined colon cancer antigen 8 (Antigen NY-CO-8) (Centrosomal colon cancer autoantigen protein) (hCCCAP)	SDCCAG8 CCCAP NPHP10 HSPC085	Homo sapiens (Human)	713
P23246	SFPQ_HUMAN	reviewed	"Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)"	SFPQ PSF	Homo sapiens (Human)	707
O43865	SAHH2_HUMAN	reviewed	Adenosylhomocysteinase 2 (AdoHcyase 2) (EC 3.3.1.1) (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (S-adenosyl-L-homocysteine hydrolase 2) (S-adenosylhomocysteine hydrolase-like protein 1)	AHCYL1 DCAL IRBIT XPVKONA	Homo sapiens (Human)	530
O75995	SASH3_HUMAN	reviewed	SAM and SH3 domain-containing protein 3 (SH3 protein expressed in lymphocytes homolog)	SASH3 CXorf9 SLY	Homo sapiens (Human)	380
O94979	SC31A_HUMAN	reviewed	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)	1220
P62304	RUXE_HUMAN	reviewed	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92
Q14242	SELPL_HUMAN	reviewed	P-selectin glycoprotein ligand 1 (PSGL-1) (Selectin P ligand) (CD antigen CD162)	SELPLG	Homo sapiens (Human)	412
Q8WYJ6	SEPT1_HUMAN	reviewed	Septin-1 (LARP) (Peanut-like protein 3) (Serologically defined breast cancer antigen NY-BR-24)	SEPT1 DIFF6 PNUTL3	Homo sapiens (Human)	367
Q6UWF3	SCIMP_HUMAN	reviewed	"SLP adapter and CSK-interacting membrane protein (SLP65/SLP76, Csk-interacting membrane protein)"	SCIMP C17orf87 UNQ5783/PRO16090	Homo sapiens (Human)	145
P08621	RU17_HUMAN	reviewed	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	Homo sapiens (Human)	437
Q8IXA5	SACA3_HUMAN	reviewed	"Sperm acrosome membrane-associated protein 3 (Cancer/testis antigen 54) (CT54) (Lysozyme-like acrosomal sperm-specific secretory protein ALLP-17) (Lysozyme-like protein 3) (Sperm lysozyme-like protein 1) (Sperm protein reactive with antisperm antibodies) (Sperm protein reactive with ASA) [Cleaved into: Sperm acrosome membrane-associated protein 3, membrane form; Sperm acrosome membrane-associated protein 3, processed form]"	SPACA3 LYC3 LYZL3 SLLP1 SPRASA UNQ424/PRO862	Homo sapiens (Human)	215
Q96BY9	SARAF_HUMAN	reviewed	Store-operated calcium entry-associated regulatory factor (SARAF) (SOCE-associated regulatory factor) (HBV X-transactivated gene 3 protein) (HBV XAg-transactivated protein 3) (Protein FOAP-7) (Transmembrane protein 66)	SARAF TMEM66 XTP3 HSPC035 NPD003 PSEC0019 UNQ1967/PRO4499	Homo sapiens (Human)	339
O43791	SPOP_HUMAN	reviewed	Speckle-type POZ protein (HIB homolog 1) (Roadkill homolog 1)	SPOP	Homo sapiens (Human)	374
P63165	SUMO1_HUMAN	reviewed	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
P61956	SUMO2_HUMAN	reviewed	Small ubiquitin-related modifier 2 (SUMO-2) (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B) (Smt3B)	SUMO2 SMT3B SMT3H2	Homo sapiens (Human)	95
Q99909	SSX3_HUMAN	reviewed	Protein SSX3 (Cancer/testis antigen 5.3) (CT5.3)	SSX3	Homo sapiens (Human)	188
Q13586	STIM1_HUMAN	reviewed	Stromal interaction molecule 1	STIM1 GOK	Homo sapiens (Human)	685
Q9UJZ1	STML2_HUMAN	reviewed	"Stomatin-like protein 2, mitochondrial (SLP-2) (EPB72-like protein 2) (Paraprotein target 7) (Paratarg-7)"	STOML2 SLP2 HSPC108	Homo sapiens (Human)	356
Q9HCE7	SMUF1_HUMAN	reviewed	E3 ubiquitin-protein ligase SMURF1 (hSMURF1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1)	SMURF1 KIAA1625	Homo sapiens (Human)	757
O43290	SNUT1_HUMAN	reviewed	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)	SART1	Homo sapiens (Human)	800
Q86UG4	SO6A1_HUMAN	reviewed	Solute carrier organic anion transporter family member 6A1 (Cancer/testis antigen 48) (CT48) (Gonad-specific transporter) (GST) (Organic anion-transporting polypeptide 6A1) (Organic anion-transporting polypeptide I) (OATP-I) (Solute carrier family 21 member 19)	SLCO6A1 OATP6A1 SLC21A19	Homo sapiens (Human)	719
Q9Y5K1	SPO11_HUMAN	reviewed	Meiotic recombination protein SPO11 (EC 5.99.1.3) (Cancer/testis antigen 35) (CT35)	SPO11	Homo sapiens (Human)	396
Q86WV1	SKAP1_HUMAN	reviewed	Src kinase-associated phosphoprotein 1 (Src family-associated phosphoprotein 1) (Src kinase-associated phosphoprotein of 55 kDa) (SKAP-55) (pp55)	SKAP1 SCAP1 SKAP55	Homo sapiens (Human)	359
Q9NZD8	SPG21_HUMAN	reviewed	Maspardin (Acid cluster protein 33) (Spastic paraplegia 21 autosomal recessive Mast syndrome protein) (Spastic paraplegia 21 protein)	SPG21 ACP33 BM-019 GL010	Homo sapiens (Human)	308
P12931	SRC_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536
O15020	SPTN2_HUMAN	reviewed	"Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)"	SPTBN2 KIAA0302 SCA5	Homo sapiens (Human)	2390
Q9UQ35	SRRM2_HUMAN	reviewed	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	SRRM2 KIAA0324 SRL300 SRM300 HSPC075	Homo sapiens (Human)	2752
Q96HP8	T176A_HUMAN	reviewed	Transmembrane protein 176A (Hepatocellular carcinoma-associated antigen 112)	TMEM176A HCA112	Homo sapiens (Human)	235
O00268	TAF4_HUMAN	reviewed	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)	1085
Q5H9I0	TFDP3_HUMAN	reviewed	Transcription factor Dp family member 3 (Cancer/testis antigen 30) (CT30) (Hepatocellular carcinoma-associated antigen 661)	TFDP3 DP4 HCA661	Homo sapiens (Human)	405
P01137	TGFB1_HUMAN	reviewed	Transforming growth factor beta-1 (TGF-beta-1) [Cleaved into: Latency-associated peptide (LAP)]	TGFB1 TGFB	Homo sapiens (Human)	390
P50990	TCPQ_HUMAN	reviewed	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Renal carcinoma antigen NY-REN-15)	CCT8 C21orf112 CCTQ KIAA0002	Homo sapiens (Human)	548
Q9HCH5	SYTL2_HUMAN	reviewed	Synaptotagmin-like protein 2 (Breast cancer-associated antigen SGA-72M) (Exophilin-4)	SYTL2 KIAA1597 SGA72M SLP2 SLP2A	Homo sapiens (Human)	934
A2RU30	TESP1_HUMAN	reviewed	Protein TESPA1 (Thymocyte-expressed positive selection-associated protein 1)	TESPA1 KIAA0748 HSPC257	Homo sapiens (Human)	521
Q14188	TFDP2_HUMAN	reviewed	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2 DP2	Homo sapiens (Human)	446
P21580	TNAP3_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 3.4.19.12) (EC 6.3.2.-) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	TNFAIP3 OTUD7C	Homo sapiens (Human)	790
P11387	TOP1_HUMAN	reviewed	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
P42680	TEC_HUMAN	reviewed	Tyrosine-protein kinase Tec (EC 2.7.10.2)	TEC PSCTK4	Homo sapiens (Human)	631
P04216	THY1_HUMAN	reviewed	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)	THY1	Homo sapiens (Human)	161
P52657	T2AG_HUMAN	reviewed	Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA p12 subunit) (TFIIA-12) (TFIIAS) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma)	GTF2A2 TF2A2	Homo sapiens (Human)	109
Q15542	TAF5_HUMAN	reviewed	Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 100 kDa subunit) (TAF(II)100) (TAFII-100) (TAFII100)	TAF5 TAF2D	Homo sapiens (Human)	800
Q5H9L4	TAF7L_HUMAN	reviewed	Transcription initiation factor TFIID subunit 7-like (Cancer/testis antigen 40) (CT40) (RNA polymerase II TBP-associated factor subunit Q) (TATA box-binding protein-associated factor 50 kDa) (Transcription initiation factor TFIID 50 kDa subunit)	TAF7L TAF2Q	Homo sapiens (Human)	462
P24821	TENA_HUMAN	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB	Homo sapiens (Human)	2201
P04053	TDT_HUMAN	reviewed	DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)	DNTT TDT	Homo sapiens (Human)	509
Q14186	TFDP1_HUMAN	reviewed	Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)	TFDP1 DP1	Homo sapiens (Human)	410
Q9Y5U5	TNR18_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357)	TNFRSF18 AITR GITR UNQ319/PRO364	Homo sapiens (Human)	241
Q9BWF2	TRAIP_HUMAN	reviewed	E3 ubiquitin-protein ligase TRAIP (EC 2.3.2.27) (RING finger protein 206) (RING-type E3 ubiquitin transferase TRAIP) (TRAF-interacting protein)	TRAIP RNF206 TRIP	Homo sapiens (Human)	469
O14836	TR13B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267)	TNFRSF13B TACI	Homo sapiens (Human)	293
O00220	TR10A_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261)	TNFRSF10A APO2 DR4 TRAILR1	Homo sapiens (Human)	468
O14763	TR10B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262)	TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186	Homo sapiens (Human)	440
Q9C026	TRIM9_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (RING finger protein 91) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9)	TRIM9 KIAA0282 RNF91	Homo sapiens (Human)	710
P29144	TPP2_HUMAN	reviewed	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	TPP2	Homo sapiens (Human)	1249
Q9NQ86	TRI36_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM36 (EC 2.3.2.27) (RING finger protein 98) (RING-type E3 ubiquitin transferase TRIM36) (Tripartite motif-containing protein 36) (Zinc-binding protein Rbcc728)	TRIM36 RBCC728 RNF98	Homo sapiens (Human)	728
Q15025	TNIP1_HUMAN	reviewed	TNFAIP3-interacting protein 1 (A20-binding inhibitor of NF-kappa-B activation 1) (ABIN-1) (HIV-1 Nef-interacting protein) (Nef-associated factor 1) (Naf1) (Nip40-1) (Virion-associated nuclear shuttling protein) (VAN) (hVAN)	TNIP1 KIAA0113 NAF1	Homo sapiens (Human)	636
Q9Y4K3	TRAF6_HUMAN	reviewed	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6)	TRAF6 RNF85	Homo sapiens (Human)	522
Q9NZC2	TREM2_HUMAN	reviewed	Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2)	TREM2	Homo sapiens (Human)	230
Q96RJ3	TR13C_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 13C (B-cell-activating factor receptor) (BAFF receptor) (BAFF-R) (BLyS receptor 3) (CD antigen CD268)	TNFRSF13C BAFFR BR3	Homo sapiens (Human)	184
P15498	VAV_HUMAN	reviewed	Proto-oncogene vav	VAV1 VAV	Homo sapiens (Human)	845
P0CG48	UBC_HUMAN	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685
P40337	VHL_HUMAN	reviewed	Von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)	VHL	Homo sapiens (Human)	213
Q15386	UBE3C_HUMAN	reviewed	Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (HectH2)	UBE3C KIAA0010 KIAA10	Homo sapiens (Human)	1083
P0CG47	UBB_HUMAN	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB	Homo sapiens (Human)	229
Q8NFA0	UBP32_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)	USP32 USP10	Homo sapiens (Human)	1604
Q5T124	UBX11_HUMAN	reviewed	UBX domain-containing protein 11 (Colorectal tumor-associated antigen COA-1) (Socius) (UBX domain-containing protein 5)	UBXN11 SOC UBXD5 PP2243	Homo sapiens (Human)	520
Q9Y385	UB2J1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1) (Yeast ubiquitin-conjugating enzyme UBC6 homolog E) (HsUBC6e)	UBE2J1 NCUBE1 CGI-76 HSPC153 HSPC205	Homo sapiens (Human)	318
P42768	WASP_HUMAN	reviewed	Wiskott-Aldrich syndrome protein (WASp)	WAS IMD2	Homo sapiens (Human)	502
P55808	XG_HUMAN	reviewed	Glycoprotein Xg (Protein PBDX)	XG PBDX	Homo sapiens (Human)	180
P12018	VPREB_HUMAN	reviewed	Immunoglobulin iota chain (CD179 antigen-like family member A) (Protein VPreB1) (V(pre)B protein) (VpreB protein) (CD antigen CD179a)	VPREB1 VPREB	Homo sapiens (Human)	145
A8K0Z3	WASH1_HUMAN	reviewed	WAS protein family homolog 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E)	WASH1 FAM39E	Homo sapiens (Human)	465
C4AMC7	WASH3_HUMAN	reviewed	Putative WAS protein family homolog 3 (Protein FAM39DP)	WASH3P FAM39DP	Homo sapiens (Human)	463
Q6VEQ5	WASH2_HUMAN	reviewed	WAS protein family homolog 2 (CXYorf1-like protein on chromosome 2) (Protein FAM39B)	WASH2P FAM39B	Homo sapiens (Human)	465
Q9H0M0	WWP1_HUMAN	reviewed	NEDD4-like E3 ubiquitin-protein ligase WWP1 (EC 2.3.2.26) (Atrophin-1-interacting protein 5) (AIP5) (HECT-type E3 ubiquitin transferase WWP1) (TGIF-interacting ubiquitin ligase 1) (Tiul1) (WW domain-containing protein 1)	WWP1	Homo sapiens (Human)	922
Q9Y2T7	YBOX2_HUMAN	reviewed	Y-box-binding protein 2 (Contrin) (DNA-binding protein C) (Dbpc) (Germ cell-specific Y-box-binding protein) (MSY2 homolog)	YBX2 CSDA3 MSY2	Homo sapiens (Human)	364
P43403	ZAP70_HUMAN	reviewed	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619
Q96J02	ITCH_HUMAN	reviewed	E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1)	ITCH	Homo sapiens (Human)	903
Q08881	ITK_HUMAN	reviewed	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK	Homo sapiens (Human)	620
Q9BY32	ITPA_HUMAN	reviewed	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (Putative oncogene protein hlc14-06-p)	ITPA C20orf37 My049 OK/SW-cl.9	Homo sapiens (Human)	194
P01880	IGHD_HUMAN	reviewed	Ig delta chain C region	IGHD	Homo sapiens (Human)	384
P01834	IGKC_HUMAN	reviewed	Ig kappa chain C region	IGKC	Homo sapiens (Human)	106
Q9HBE4	IL21_HUMAN	reviewed	Interleukin-21 (IL-21) (Za11)	IL21	Homo sapiens (Human)	155
Q14773	ICAM4_HUMAN	reviewed	Intercellular adhesion molecule 4 (ICAM-4) (Landsteiner-Wiener blood group glycoprotein) (LW blood group protein) (CD antigen CD242)	ICAM4 LW	Homo sapiens (Human)	271
Q9NXR8	ING3_HUMAN	reviewed	Inhibitor of growth protein 3 (p47ING3)	ING3 HSPC301	Homo sapiens (Human)	418
P01579	IFNG_HUMAN	reviewed	Interferon gamma (IFN-gamma) (Immune interferon)	IFNG	Homo sapiens (Human)	166
Q96PD4	IL17F_HUMAN	reviewed	Interleukin-17F (IL-17F) (Cytokine ML-1)	IL17F	Homo sapiens (Human)	163
Q8NI17	IL31R_HUMAN	reviewed	Interleukin-31 receptor subunit alpha (IL-31 receptor subunit alpha) (IL-31R subunit alpha) (IL-31R-alpha) (IL-31RA) (Cytokine receptor-like 3) (GLM-R) (hGLM-R) (Gp130-like monocyte receptor) (Gp130-like receptor) (ZcytoR17)	IL31RA CRL3 GPL UNQ6368/PRO21073/PRO21384	Homo sapiens (Human)	732
P16871	IL7RA_HUMAN	reviewed	Interleukin-7 receptor subunit alpha (IL-7 receptor subunit alpha) (IL-7R subunit alpha) (IL-7R-alpha) (IL-7RA) (CDw127) (CD antigen CD127)	IL7R	Homo sapiens (Human)	459
Q16552	IL17_HUMAN	reviewed	Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8)	IL17A CTLA8 IL17	Homo sapiens (Human)	155
Q13478	IL18R_HUMAN	reviewed	Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1) (CD218 antigen-like family member A) (CDw218a) (IL1 receptor-related protein) (IL-1Rrp) (IL1R-rp) (CD antigen CD218a)	IL18R1 IL1RRP	Homo sapiens (Human)	541
P01871	IGHM_HUMAN	reviewed	Ig mu chain C region	IGHM	Homo sapiens (Human)	452
Q13422	IKZF1_HUMAN	reviewed	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens (Human)	519
P06331	HV434_HUMAN	reviewed	Immunoglobulin heavy variable 4-34 (Ig heavy chain V-II region ARH-77)	IGHV4-34	Homo sapiens (Human)	123
P01825	HV459_HUMAN	reviewed	Immunoglobulin heavy variable 4-59 (Ig heavy chain V-II region NEWM)	IGHV4-59	Homo sapiens (Human)	116
P78552	I13R1_HUMAN	reviewed	Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1)	IL13RA1 IL13R IL13RA	Homo sapiens (Human)	427
Q13349	ITAD_HUMAN	reviewed	Integrin alpha-D (ADB2) (CD11 antigen-like family member D) (Leukointegrin alpha D) (CD antigen CD11d)	ITGAD	Homo sapiens (Human)	1161
Q16566	KCC4_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR)	CAMK4 CAMK CAMK-GR CAMKIV	Homo sapiens (Human)	473
Q9P055	JKAMP_HUMAN	reviewed	JNK1/MAPK8-associated membrane protein (JKAMP) (JNK1-associated membrane protein) (JAMP) (Medulloblastoma antigen MU-MB-50.4)	JKAMP C14orf100 JAMP CDA06 HSPC213 HSPC327	Homo sapiens (Human)	326
P01593	KVD33_HUMAN	reviewed	Immunoglobulin kappa variable 1D-33 (Ig kappa chain V-I region AG) (Ig kappa chain V-I region Bi) (Ig kappa chain V-I region Lay) (Ig kappa chain V-I region Ni) (Ig kappa chain V-I region Rei) (Ig kappa chain V-I region Roy) (Ig kappa chain V-I region Scw) (Ig kappa chain V-I region WAT)	IGKV1D-33	Homo sapiens (Human)	117
A6NI73	LIRA5_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)	LILRA5 ILT11 LILRB7 LIR9	Homo sapiens (Human)	299
Q8WWI1	LMO7_HUMAN	reviewed	LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP)	LMO7 FBX20 FBXO20 KIAA0858	Homo sapiens (Human)	1683
